,sid,cond,dimtype,ruletype,counter,ruledir,rulerelation,block,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late
66,247,3,absolute,2D,1,negative,2D-N,2,0.625,1.1310857262,1.05609819255,1.07503855276,0,0.0,0.0,0.0
67,247,3,absolute,2D,1,negative,2D-N,3,0.5625,1.02196481221,0.686903730296,1.07503855276,0,0.0,0.0,0.0
68,247,3,absolute,2D,1,negative,2D-N,4,0.71875,1.39091488272,1.27507319575,1.07503855276,0,0.0,0.0,0.0
69,247,3,absolute,2D,1,negative,2D-N,5,0.6875,1.13906918985,0.982128957832,1.07503855276,0,0.0,0.0,0.0
70,247,3,absolute,2D,1,negative,2D-N,6,0.75,1.22513581593,1.10921266505,1.07503855276,0,0.0,0.0,0.0
71,247,3,absolute,2D,1,negative,2D-N,7,0.75,1.21593039355,1.35751467761,1.07503855276,0,0.0,0.0,0.0
72,248,1,absolute,1D,0,positive,1D-F,0,1.0,0.38545,0.152,0.6999,11,3.25,6.5,0.0
73,248,1,absolute,1D,0,positive,1D-F,1,1.0,0.5036,0.2332,0.6999,15,3.25,6.5,0.0
74,248,1,absolute,1D,0,positive,1D-F,2,1.0,1.11395,0.8516,0.6999,0,3.25,6.5,0.0
75,248,1,absolute,1D,0,positive,1D-F,3,0.96875,0.7823,0.6496,0.6999,0,3.25,6.5,0.0
76,248,1,absolute,1D,0,positive,1D-F,4,1.0,1.3693,1.2164,0.6999,0,3.25,6.5,0.0
77,248,1,absolute,1D,0,positive,1D-F,5,1.0,0.51565,0.3868,0.6999,0,3.25,6.5,0.0
78,248,1,absolute,1D,0,positive,1D-F,6,1.0,1.3201,1.2368,0.6999,0,3.25,6.5,0.0
79,248,1,absolute,1D,0,positive,1D-F,7,0.96875,0.95705,0.8728,0.6999,0,3.25,6.5,0.0
80,249,0,relative,1D,1,positive,1D-C,0,0.90625,0.7478125,0.5,0.761,14,2.875,5.75,0.0
81,249,0,relative,1D,1,positive,1D-C,1,0.90625,0.8725,0.5495,0.761,9,2.875,5.75,0.0
82,249,0,relative,1D,1,positive,1D-C,2,0.875,0.7719375,0.5725,0.761,0,2.875,5.75,0.0
83,249,0,relative,1D,1,positive,1D-C,3,0.875,1.0805625,1.1035,0.761,0,2.875,5.75,0.0
84,249,0,relative,1D,1,positive,1D-C,4,0.8125,1.065875,1.0805,0.761,0,2.875,5.75,0.0
