,sid,cond,counter,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late,dimtype,ruletype,ruledir,rulerelation
75,318,3.0,1.0,0.890625,0.473142417642,0.346058710424,0.346058710424,15.375,15.375,15.75,15.0,absolute,2D,positive,2D-N
76,319,3.0,0.0,0.89453125,0.893312924631,0.685926163317,0.685926163317,3.375,3.375,1.75,5.0,absolute,2D,comp,2D-P
77,320,3.0,1.0,0.78125,1.0612151447,0.937283072689,0.937283072689,12.75,12.75,10.75,14.75,absolute,2D,negative,2D-N
78,321,2.0,1.0,0.99609375,0.791479212406,0.379010863994,0.379010863994,11.25,11.25,15.25,7.25,relative,2D,positive,2D-N
79,322,0.0,1.0,0.85546875,0.908140625,0.875625,0.875625,8.25,8.25,11.5,5.0,relative,1D,positive,1D-C
80,323,0.0,0.0,0.74609375,0.9433671875,0.8895,0.8895,6.125,6.125,8.0,4.25,relative,1D,positive,1D-F
81,325,1.0,0.0,0.94140625,0.907875,0.79025,0.79025,7.0,7.0,12.75,1.25,absolute,1D,positive,1D-F
82,328,2.0,0.0,0.93359375,0.856428864294,0.5521420491,0.5521420491,5.625,5.625,9.0,2.25,relative,2D,comp,2D-P
83,329,0.0,1.0,1.0,0.666140625,0.2711875,0.2711875,14.75,14.75,16.0,13.5,relative,1D,negative,1D-C
84,330,3.0,0.0,0.8671875,0.811105651524,0.451391552368,0.451391552368,14.875,14.875,15.0,14.75,absolute,2D,comp,2D-P
85,331,0.0,1.0,0.8984375,0.8403828125,0.629875,0.629875,12.0,12.0,15.5,8.5,relative,1D,negative,1D-C
86,332,3.0,0.0,0.84375,0.694764998082,0.443693212412,0.443693212412,6.875,6.875,5.5,8.25,absolute,2D,comp,2D-P
87,333,1.0,0.0,0.90234375,0.82140625,0.64525,0.64525,6.875,6.875,7.75,6.0,absolute,1D,negative,1D-C
88,334,0.0,0.0,0.71875,1.1803046875,1.217125,1.217125,4.375,4.375,5.75,3.0,relative,1D,negative,1D-F
89,335,2.0,0.0,0.96484375,0.632586392173,0.407747259969,0.407747259969,9.875,9.875,14.5,5.25,relative,2D,comp,2D-P
90,336,1.0,1.0,0.80078125,1.01071875,0.905,0.905,1.0,1.0,2.0,0.0,absolute,1D,negative,1D-C
91,337,2.0,1.0,0.546875,1.07621468803,0.921560537117,0.921560537117,16.0,16.0,16.0,16.0,relative,2D,negative,2D-N
92,338,3.0,0.0,0.78515625,0.936061113966,0.653788648895,0.653788648895,7.0,7.0,9.5,4.5,absolute,2D,comp,2D-P
