,sid,cond,acc,dist_mn,dist_med,avg_dist_med,stimtype,ruletype,rulevariant
0,48,1.0,0.83984375,0.86951855706,0.78952314179,0.78952314179,rectangle,rb,width
1,49,1.0,0.8984375,0.956003368884,0.964557472341,0.964557472341,rectangle,rb,width
2,50,0.0,0.90625,0.741473081164,0.673220028818,0.673220028818,antenna,rb,radius
3,51,0.0,0.9296875,0.480757687583,0.484715569886,0.484715569886,antenna,rb,radius
4,52,1.0,0.89453125,1.03739860651,0.903944851183,0.903944851183,rectangle,rb,height
5,53,2.0,0.83203125,0.631993666992,0.442246617234,0.442246617234,antenna,ii,neg
6,54,2.0,0.7578125,1.10058961732,0.984814698468,0.984814698468,antenna,ii,neg
7,55,0.0,0.96484375,0.870394400042,0.667062955036,0.667062955036,antenna,rb,angle
8,56,2.0,0.63671875,1.22192853564,1.10662815494,1.10662815494,antenna,ii,neg
9,57,3.0,0.6796875,1.23877424583,0.950702197795,0.950702197795,rectangle,ii,size
10,58,2.0,0.75390625,1.27336878956,1.08587707478,1.08587707478,antenna,ii,pos
11,59,3.0,0.953125,0.956170322275,0.752357673209,0.752357673209,rectangle,ii,shape
12,60,1.0,0.79296875,1.18792109781,1.25413761254,1.25413761254,rectangle,rb,height
13,61,0.0,0.9921875,1.06652646852,1.02168823769,1.02168823769,antenna,rb,angle
14,63,2.0,0.74609375,1.33510679586,1.15722225014,1.15722225014,antenna,ii,neg
15,64,1.0,0.796875,1.11587933717,1.19463903498,1.19463903498,rectangle,rb,height
16,65,1.0,0.8359375,1.25808141243,1.35259296499,1.35259296499,rectangle,rb,height
17,66,0.0,0.97265625,0.720601332992,0.499865367806,0.499865367806,antenna,rb,angle
18,67,3.0,0.9140625,1.02423380649,0.836856197067,0.836856197067,rectangle,ii,shape
19,68,2.0,0.7265625,1.02217876793,0.749126493084,0.749126493084,antenna,ii,neg
20,69,3.0,0.8984375,0.762030627072,0.679721338827,0.679721338827,rectangle,ii,shape
21,70,0.0,0.98828125,0.572524068515,0.284422137915,0.284422137915,antenna,rb,angle
22,71,3.0,0.984375,0.62526399959,0.490166344241,0.490166344241,rectangle,ii,shape
23,72,3.0,0.91796875,0.984231066782,0.780687029681,0.780687029681,rectangle,ii,shape
24,73,3.0,0.96875,0.740567706733,0.312537903535,0.312537903535,rectangle,ii,shape
25,74,1.0,0.59765625,1.30038062779,1.39145031885,1.39145031885,rectangle,rb,height
26,75,1.0,0.8203125,1.00581332169,0.917021676276,0.917021676276,rectangle,rb,height
27,76,0.0,0.9765625,0.272098256749,0.228284828069,0.228284828069,antenna,rb,angle
28,77,1.0,0.67578125,1.54837994692,1.89757090334,1.89757090334,rectangle,rb,height
29,78,2.0,0.6640625,1.36200462148,1.23047352973,1.23047352973,antenna,ii,neg
30,79,1.0,0.63671875,1.27339119856,1.43761533458,1.43761533458,rectangle,rb,width
